,SAT,GPA,PLAN,ACCEPT
124,1330.0,3.73,2.0,1.0
125,1340.0,3.51,3.0,1.0
126,1340.0,3.98,2.0,1.0
127,1340.0,3.9,2.0,1.0
128,1350.0,4.42,2.0,1.0
129,1350.0,3.11,2.0,1.0
130,1350.0,3.43,3.0,1.0
131,1360.0,4.34,2.0,1.0
132,1360.0,4.34,2.0,1.0
133,1360.0,4.34,2.0,1.0
134,1370.0,4.29,2.0,1.0
135,1370.0,3.76,3.0,1.0
136,1370.0,3.76,3.0,1.0
137,1370.0,3.44,3.0,1.0
138,1370.0,4.31,3.0,1.0
139,1370.0,4.18,3.0,1.0
140,1400.0,4.45,2.0,1.0
141,1400.0,4.45,2.0,1.0
142,1400.0,4.45,2.0,1.0
143,1410.0,4.26,3.0,1.0
144,1410.0,4.37,-1.0,1.0
145,1410.0,4.31,3.0,1.0
146,1410.0,4.42,2.0,1.0
147,1420.0,4.32,2.0,1.0
148,1420.0,4.17,2.0,1.0
149,1430.0,4.0,2.0,1.0
150,1430.0,4.0,2.0,1.0
151,1430.0,4.0,2.0,1.0
152,1430.0,3.81,2.0,1.0
153,1440.0,4.0,3.0,1.0
154,1440.0,4.0,3.0,1.0
155,1440.0,4.0,3.0,1.0
156,1440.0,4.0,3.0,1.0
157,1440.0,4.0,3.0,1.0
158,1470.0,4.27,2.0,1.0
159,1470.0,4.27,2.0,1.0
160,1490.0,4.33,3.0,1.0
161,1490.0,4.33,3.0,1.0
162,1490.0,4.33,3.0,1.0
163,1490.0,4.33,3.0,1.0
164,1490.0,4.33,3.0,1.0
165,1490.0,4.33,3.0,1.0
166,1490.0,4.33,3.0,1.0
