1000, 4.00, 3, 0
1030, 3.37, 3, 0
1040, 3.60, 3, 0
1050, 3.74, 3, 1
1080, 4.14, 2, 1
1080, 3.28, 1, 0
1100, 3.38, 1, 0
1100, 3.74, 1, 1
1110, 4.05, 3, 1
1110, 3.88, 3, 1
1110, 3.51, 3, 0
1110, 4.10, 2, 1
1110, 4.10, 2, 1
1110, 4.10, 2, 1
1120, 3.78, 3, 0
1120, 3.70, 3, 0
1120, 3.70, 3, 0
1120, 3.70, 3, 0
1140, 4.00, 2, 1
1140, 3.58, 3, 0
1140, 3.43, 2, 1
1150, 3.90, 1, 1
1150, 3.60, 2, 0
1150, 4.00, 1, 1
1150, 3.90, 1, 1
1150, 3.47, 3, 0
1160, 3.91, 1, 1
1160, 3.18, 3, 0
1160, 3.85, 2, 0
1160, 3.84, 2, 1
1160, 3.84, 2, 1
1160, 3.84, 2, 1
1170, 4.07, 2, 1
1160, 3.84, 2, 1
1170, 4.15, 3, 1
1180, 3.90, 2, 1
1180, 4.09, 3, 1
1180, 4.07, 3, 1
1190, 3.78, 1, 0
1190, 4.11, 1, 1
1190, 3.18, 3, 0
1190, 4.08, 3, 1
1190, 3.87, 2, 1
1190, 3.91, 1, 1
1200, 4.06, 3, 1
1200, 3.84, 1, 1
1210, 4.21, 3, 1
1210, 3.58, 2, 0
1210, 4.08, 2, 1
1210, 4.21, 3, 1
1210, 4.21, 3, 1
1210, 4.21, 3, 1
1210, 4.25, 3, 1
1220, 3.41, 1, 0
1220, 4.23, 3, 1
1220, 3.41, 1, 0
1220, 3.59, 1, 0
1220, 4.23, 3, 1
1230, 3.86, 3, 0
1230, 4.16, 2, 1
1230, 4.15, 3, 1
1230, 3.99, 2, 1
1230, 3.75, 3, 1
1230, 3.95, 2, 0
1230, 3.56, 1, 1
1230, 3.74, 1, 0
1240, 3.91, 3, 1
1240, 4.04, 2, 1
1240, 4.04, 2, 1
1240, 4.12, 3, 0
1240, 4.19, 3, 1
1240, 4.23, 3, 1
1240, 4.16, 3, 1
1250, 4.13, 3, 1
1250, 3.53, 1, 0
1250, 4.13, 3, 1
1250, 4.23, 2, 1
1250, 4.27, 3, 1
1250, 4.09, 3, 0
1250, 4.11, 3, 1
1260, 4.26, 2, 1
1260, 4.18, 2, 1
1260, 3.28, 3, 0
1260, 3.75, 2, 0
1260, 3.85, 3, 1
1260, 4.07, 3, 1
1260, 4.54, 1, 1
1270, 3.77, 1, 1
1270, 4.30, 1, 1
1270, 3.86, 3, 1
1270, 3.86, 3, 1
1270, 4.18, 3, 1
1270, 4.33, 3, 1
1270, 4.31, 3, 1
1270, 3.52, 1, 1
1280, 3.68, 3, 1
1280, 4.04, 3, 1
1280, 4.20, 3, 1
1280, 3.96, 3, 1
1280, 4.39, 3, 1
1290, 4.02, 2, 1
1290, 4.20, 3, 0
1290, 4.35, 3, 1
1290, 4.19, 3, 1
1290, 3.97, 3, 1
1290, 3.42, 3, 0
1290, 3.94, 3, 1
1290, 4.19, 3, 1
1300, 4.25, 3, 1
1300, 4.05, 3, 1
1300, 4.06, 3, 1
1300, 4.39, -1, 1
1300, 4.25, 1, 1
1300, 3.48, 1, 0
1300, 3.48, 1, 0
1300, 3.48, 1, 0
1310, 4.18, 2, 1
1310, 4.24, 3, 1
1310, 4.26, 3, 1
1310, 4.13, 2, 1
1300, 3.48, 1, 0
1320, 4.20, 2, 1
1320, 3.66, 1, 1
1320, 4.34, 3, 1
1320, 3.98, 3, 0
1320, 4.18, 3, 1
1320, 4.10, 3, 1
1320, 4.20, 2, 1
1320, 4.03, 3, 1
1320, 3.98, 3, 1
1320, 4.03, 3, 1
1330, 3.73, 2, 0
1330, 4.33, 3, 1
1330, 3.70, 3, 0
1330, 3.96, 2, 1
1340, 3.51, 3, 0
1340, 3.88, 3, 0
1340, 4.08, 2, 1
1340, 4.15, 2, 1
1340, 3.90, 3, 1
1340, 4.29, 3, 1
1350, 4.35, 3, 1
1350, 4.35, 3, 1
1350, 4.35, 2, 1
1350, 3.43, 1, 0
1350, 4.18, 3, 1
1350, 4.42, 2, 1
1350, 4.42, 2, 1
1350, 4.21, 1, 1
1360, 3.41, 3, 0
1360, 4.44, 3, 1
1360, 4.23, 3, 1
1360, 4.34, 2, 1
1360, 4.22, 1, 1
1360, 4.17, 2, 1
1360, 4.17, 2, 1
1360, 4.17, 2, 1
1370, 4.15, 3, 1
1370, 4.39, 3, 1
1370, 4.31, 2, 1
1370, 4.31, 2, 1
1370, 4.15, 3, 1
1370, 4.31, 2, 1
1380, 4.35, 2, 1
1390, 4.34, 3, 1
1400, 4.25, 2, 1
1400, 4.40, 2, 1
1400, 4.45, 3, 1
1400, 4.45, 3, 1
1400, 4.45, 3, 1
1400, 4.26, 2, 1
1400, 4.40, 3, 1
1410, 4.17, 2, 1
1410, 4.34, 2, 1
1410, 4.37, 3, 1
1410, 4.42, 1, 1
1420, 3.91, 3, 1
1410, 3.87, 3, 0
1410, 4.42, 2, 1
1420, 3.91, 3, 1
1420, 4.32, 2, 1
1420, 4.13, 2, 1
1420, 3.91, 3, 1
1420, 4.46, 2, 1
