,SAT,GPA,PLAN,ACCEPT
0,1310.0,4.13,3.0,0.0
1,1320.0,4.63,2.0,1.0
2,1350.0,4.42,3.0,0.0
3,1380.0,4.35,2.0,0.0
4,1400.0,4.24,2.0,0.0
5,1400.0,4.26,2.0,0.0
6,1400.0,4.26,2.0,0.0
7,1400.0,4.26,2.0,0.0
8,1400.0,4.26,2.0,0.0
9,1400.0,4.26,2.0,0.0
10,1410.0,4.42,2.0,1.0
11,1410.0,4.19,2.0,0.0
12,1410.0,4.19,2.0,0.0
13,1410.0,4.19,2.0,0.0
14,1440.0,4.55,3.0,0.0
15,1440.0,4.55,3.0,0.0
16,1440.0,4.55,3.0,0.0
17,1480.0,4.69,3.0,0.0
18,1480.0,4.69,3.0,0.0
